,Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
0,1,Bermuda,147.51,102.54,126.71,148.59,162.07,68.82,2021
1,2,Switzerland,125.02,54.92,92.59,129.17,122.92,102.77,2021
2,3,Norway,103.56,36.91,72.72,99.51,106.72,73.55,2021
3,4,Iceland,99.67,46.62,75.12,93.51,106.16,67.3,2021
4,5,Barbados,94.44,22.53,61.17,89.23,78.91,30.74,2021
5,6,Jersey,94.43,64.03,80.36,78.51,96.55,77.12,2021
6,7,Denmark,88.53,34.51,63.53,71.55,104.06,86.43,2021
7,8,Luxembourg,85.3,64.19,75.53,79.55,93.53,87.76,2021
8,9,Israel,84.77,32.6,60.63,73.31,91.74,65.91,2021
9,10,Bahamas,84.32,35.03,61.51,70.63,83.61,46.07,2021
10,11,Singapore,82.63,64.98,74.46,74.28,59.02,78.53,2021
11,12,Japan,81.15,28.05,56.58,84.48,48.67,76.01,2021
12,13,Hong Kong,80.82,77.56,79.31,84.83,59.5,56.86,2021
13,14,Australia,80.75,38.67,61.28,78.96,74.73,91.07,2021
14,15,Netherlands,78.93,38.24,60.1,67.45,80.31,76.65,2021
15,16,Ireland,78.55,45.34,63.18,64.98,80.96,71.58,2021
16,17,France,77.59,27.07,54.22,75.99,75.39,76.36,2021
17,18,South Korea,76.46,23.25,51.84,94.49,43.14,69.44,2021
18,19,Finland,76.35,27.81,53.89,66.4,81.93,80.11,2021
19,20,New Zealand,76.31,35.79,57.56,72.34,73.25,74.89,2021
20,21,Sweden,75.89,27.61,53.55,69.68,75.31,85.44,2021
21,22,Belgium,75.79,27.28,53.35,65.22,82.5,70.12,2021
22,23,Austria,74.87,29.38,53.82,68.83,70.9,68.69,2021
23,24,Seychelles,74.07,34.49,55.76,72.97,82.84,16.86,2021
24,25,Malta,72.92,33.06,54.47,63.96,76.19,36.73,2021
25,26,Canada,71.45,35.06,54.62,70.15,69.51,78.34,2021
26,27,United Kingdom,70.64,33.03,53.24,57.34,76.16,77.47,2021
27,28,United States,70.55,42.56,57.6,69.87,70.79,94.32,2021
28,29,Italy,69.99,22.12,47.84,60.7,74.0,54.3,2021
29,30,Lebanon,69.32,26.4,49.46,64.23,57.2,32.48,2021
30,31,Macao,68.16,46.31,58.05,66.18,51.71,62.15,2021
31,32,Germany,67.85,29.61,50.16,53.33,64.0,89.86,2021
32,33,Puerto Rico,67.84,20.4,45.89,70.31,58.23,61.16,2021
33,34,Taiwan,64.93,17.86,43.15,80.52,29.27,51.09,2021
34,35,Qatar,61.93,48.95,55.93,54.25,61.93,84.85,2021
35,36,Cyprus,61.64,22.99,43.76,51.29,63.25,49.36,2021
36,37,Maldives,61.03,32.1,47.65,62.38,33.62,23.61,2021
37,38,United Arab Emirates,58.94,39.21,49.81,47.43,59.57,84.93,2021
38,39,Greece,58.38,13.3,37.52,46.17,54.53,35.95,2021
39,40,Bahrain,57.16,30.23,44.7,45.96,51.99,52.68,2021
40,41,Palestine,56.92,10.68,35.52,50.3,41.79,35.98,2021
41,42,Spain,56.64,23.19,41.16,47.36,56.63,58.5,2021
42,43,Slovenia,56.4,18.7,38.96,49.16,46.99,52.08,2021
43,44,Cuba,55.46,16.22,37.31,47.74,35.24,1.28,2021
44,45,Croatia,55.18,14.5,36.36,48.44,46.86,39.83,2021
45,46,Trinidad And Tobago,54.78,16.96,37.28,53.37,53.78,34.85,2021
46,47,Estonia,53.77,15.89,36.24,42.3,53.02,56.58,2021
47,48,Libya,53.59,13.95,35.25,61.02,36.28,27.83,2021
48,49,Panama,53.03,23.24,39.25,53.22,45.57,28.91,2021
49,50,Jamaica,51.75,17.42,35.87,54.27,34.69,28.01,2021
50,51,Senegal,51.54,22.22,37.97,44.63,37.88,21.87,2021
51,52,Yemen,51.41,6.77,30.75,63.48,23.46,12.81,2021
52,53,Ivory Coast,50.95,22.05,37.58,43.21,33.81,5.65,2021
53,54,Jordan,50.91,9.97,31.97,41.91,42.02,27.95,2021
54,55,Belize,50.91,11.65,32.74,47.64,36.47,42.38,2021
55,56,Portugal,50.65,21.97,37.38,40.87,42.54,40.54,2021
56,57,Uruguay,50.55,14.15,33.7,41.8,48.43,27.43,2021
57,58,Latvia,50.41,12.9,33.06,39.48,45.62,43.49,2021
58,59,Suriname,50.05,10.09,31.56,48.44,62.23,14.55,2021
59,60,Guyana,49.7,8.82,30.78,52.37,44.43,15.87,2021
60,61,Oman,49.64,17.86,34.93,46.9,43.04,74.87,2021
61,62,Saudi Arabia,49.6,12.51,32.44,41.94,33.84,80.11,2021
62,63,Kuwait,49.14,32.78,41.57,36.21,48.15,70.51,2021
63,64,Ethiopia,48.89,16.36,33.84,36.01,18.2,9.03,2021
64,65,Chile,48.6,15.01,33.06,41.64,47.86,29.43,2021
65,66,Costa Rica,48.53,15.66,33.32,46.35,42.77,34.7,2021
66,67,Czech Republic,48.2,18.79,34.59,42.57,35.41,54.8,2021
67,68,Cambodia,47.44,15.13,32.49,48.28,23.12,10.16,2021
68,69,Zimbabwe,47.35,9.47,29.82,40.57,37.47,17.01,2021
69,70,Slovakia,47.32,17.51,33.53,41.92,37.8,45.65,2021
70,71,Mauritius,47.13,12.05,30.9,49.5,34.7,24.57,2021
71,72,Lithuania,46.04,14.75,31.56,35.98,45.37,52.8,2021
72,73,Venezuela,45.96,10.89,29.73,37.69,48.14,13.39,2021
73,74,Fiji,44.93,17.9,32.42,49.74,38.02,29.4,2021
74,75,Thailand,44.76,15.27,31.11,45.99,23.47,28.87,2021
75,76,Guatemala,44.39,16.19,31.34,42.39,33.34,22.17,2021
76,77,South Africa,44.21,18.25,32.19,37.08,39.95,69.15,2021
77,78,El Salvador,44.01,14.12,30.18,42.68,36.14,19.21,2021
78,79,Hungary,42.26,12.79,28.62,35.8,34.48,47.41,2021
79,80,Nicaragua,41.81,8.68,26.48,40.68,29.92,15.2,2021
80,81,Dominican Republic,41.79,10.15,27.15,37.66,34.55,18.8,2021
81,82,Poland,41.75,19.39,31.4,34.11,35.1,43.61,2021
82,83,Botswana,41.7,10.73,27.37,35.71,46.73,48.96,2021
83,84,China,41.31,16.67,29.91,45.2,27.47,53.62,2021
84,85,Honduras,41.29,10.71,27.14,35.34,29.13,28.72,2021
85,86,Cameroon,40.85,7.65,25.49,41.51,24.26,14.07,2021
86,87,Iran,40.64,16.73,29.58,35.06,24.37,16.82,2021
87,88,Montenegro,39.81,12.02,26.95,31.81,32.37,33.1,2021
88,89,Philippines,39.11,10.41,25.83,38.41,21.72,18.0,2021
89,90,Ecuador,38.79,12.07,26.42,36.03,28.66,27.1,2021
90,91,Bulgaria,38.67,9.56,25.2,34.25,30.59,39.49,2021
91,92,Ghana,38.53,21.08,30.46,38.73,31.85,16.85,2021
92,93,Albania,37.73,8.6,24.25,30.88,28.08,25.59,2021
93,94,Serbia,37.62,9.75,24.73,28.83,30.62,34.16,2021
94,95,Malaysia,37.52,10.44,24.99,39.02,21.25,50.11,2021
95,96,Bosnia And Herzegovina,36.95,7.32,23.24,31.17,25.48,38.94,2021
96,97,Vietnam,36.94,13.94,26.29,37.87,19.18,25.29,2021
97,98,Romania,36.77,10.91,24.8,32.45,31.54,41.89,2021
98,99,Russia,36.76,15.3,26.83,30.79,37.17,35.53,2021
99,100,Mexico,36.74,14.45,26.43,35.04,33.72,31.3,2021
100,101,Brazil,36.06,9.24,23.65,30.08,27.7,25.13,2021
101,102,Myanmar,36.04,20.41,28.8,37.24,19.76,12.73,2021
102,103,Iraq,36.02,11.33,24.59,31.56,29.08,35.9,2021
103,104,Indonesia,35.95,9.94,23.91,38.01,17.7,19.01,2021
104,105,Kenya,35.82,10.0,23.87,32.77,30.37,25.37,2021
105,106,Morocco,35.58,9.87,23.68,32.13,25.69,29.77,2021
106,107,Argentina,35.33,8.31,22.83,28.34,34.18,27.68,2021
107,108,Bolivia,35.15,11.28,24.1,31.23,25.42,33.39,2021
108,109,Somalia,34.5,5.8,21.22,39.28,26.91,26.16,2021
109,110,Mongolia,33.73,10.07,22.78,35.16,22.96,24.34,2021
110,111,Rwanda,33.57,15.77,25.34,28.59,29.37,22.78,2021
111,112,Tanzania,33.48,13.43,24.2,30.16,25.33,14.97,2021
112,113,Armenia,33.22,11.61,23.22,26.52,29.65,24.23,2021
