,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
0,Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.66199999999999,66.074,66.444,66.78699999999999,67.113,67.435,67.762,68.095,68.436,68.78399999999999,69.14,69.498,69.851,70.191,70.51899999999999,70.833,71.14,71.441,71.736,72.023,72.293,72.538,72.751,72.929,73.071,73.181,73.262,73.325,73.378,73.425,73.468,73.509,73.544,73.57300000000001,73.598,73.622,73.646,73.671,73.7,73.738,73.78699999999999,73.85300000000001,73.937,74.038,74.156,74.28699999999999,74.429,74.57600000000001,74.725,74.872,75.017,75.158,75.29899999999999,75.441,75.583,75.725,75.868,76.01,76.152,76.293,,
1,Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,42.7160525263364,43.166935069176596,43.6039902540244,44.0256167023783,44.432720966826494,44.82691850534471,45.213047707773796,45.5942941174189,45.9740588428679,46.3523988952427,46.728796512779105,47.1028663204687,47.4711684318316,47.8294031049271,48.1749986572569,48.5033109025955,48.8108365311431,49.0978495787067,49.3663275658959,49.61999719608729,49.870692537477204,50.11588583507,50.3634564074708,50.6103849128502,50.8483347763205,51.0580570906536,51.214280851695605,51.29978084755779,51.3085954769909,51.251763106504406,51.154113100187,51.04841382618879,50.9572621198378,50.890246102484596,50.84186496360721,50.8084844038107,50.7961569715184,50.8206135660064,50.8976071774296,51.0441913292055,51.276128884404706,51.6064582838941,52.043149282643796,52.5858533977139,53.2289134701853,53.96655013393,54.7917066462486,55.68234350051971,56.609798919514205,57.548771862288895,58.4706966763051,59.3535949230704,60.18556104719911,60.9533629561754,61.6473665890637,62.2592883749181,62.787681485068795,63.24626353405661,63.648988039777,64.00519747322289,,
2,Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.446,32.961999999999996,33.471,33.971,34.463,34.948,35.43,35.914,36.403,36.9,37.409,37.93,38.461,39.003,39.558,40.128,40.715,41.32,41.943999999999996,42.585,43.244,43.923,44.617,45.324,46.04,46.761,47.486000000000004,48.211000000000006,48.93,49.64,50.331,50.998999999999995,51.641000000000005,52.256,52.842,53.398,53.924,54.424,54.906000000000006,55.376000000000005,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.483999999999995,61.028,61.553000000000004,62.053999999999995,62.525,62.966,63.376999999999995,63.763000000000005,64.13,64.486,64.833,,
3,Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.2053802888777,37.6325458107287,38.0526124460236,38.46374629928621,38.8670727302204,39.264841022967,39.662761681846796,40.0664076306498,40.482832044689296,40.9142150205219,41.3651166262866,41.8372135384403,42.327042722952,42.8290770572674,43.3392192743596,43.855041970259705,44.373966114244006,44.892226470766104,45.4026805804062,45.897475284120596,46.3661037063484,46.79829218771461,47.1886175651087,47.53398545179339,47.83053648536679,48.0793808980202,48.2845808464756,48.4541278305564,48.5974209842621,48.719230807331,48.816999400914604,48.8859342755717,48.9234160699463,48.9337077497748,48.925505349921295,48.9099367837817,48.89987528818111,48.90912994995621,48.9553390213338,49.05263892231871,49.2197138106225,49.4751356037932,49.8169286273063,50.239432365330494,50.733416651270296,51.2834866628333,51.868202570724705,52.463957563091896,53.049500398607705,53.612089513264706,54.144306709005896,54.6499981291251,55.1389443224205,55.618986408212606,56.0882690441146,56.5420091409512,56.97476115090839,57.382362702624995,57.76234678677629,58.1157227231324,,
4,Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.524,37.811,38.113,38.43,38.76,39.102,39.454,39.813,40.178000000000004,40.546,40.914,41.282,41.65,42.016000000000005,42.373999999999995,42.721000000000004,43.053000000000004,43.367,43.66,43.931000000000004,44.178000000000004,44.403999999999996,44.611000000000004,44.799,44.966,45.107,45.213,45.283,45.317,45.324,45.306000000000004,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.763000000000005,46.093,46.522,47.059,47.702,48.44,49.263000000000005,50.165,51.143,52.177,53.243,54.31100000000001,55.35,56.33,57.236000000000004,58.053999999999995,58.776,59.398,59.925,60.379,60.782,61.147,,
5,Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.283,63.301,64.19,64.914,65.46300000000001,65.85,66.11,66.304,66.487,66.689,66.935,67.237,67.582,67.953,68.343,68.736,69.11,69.44800000000001,69.742,69.991,70.208,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.80199999999999,71.86,71.992,72.205,72.495,72.83800000000001,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.22800000000001,75.423,75.646,75.91199999999999,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.57300000000001,,
6,Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.54690911388639,47.1416203938599,47.7317823550181,48.3204332728397,48.910019198409,49.496477233863104,50.07294888011371,50.63441245292479,51.1820993388776,51.7220226121029,52.26421092040171,52.8229322847285,53.4068864943415,54.01585516814141,54.642867238296205,55.277987677993,55.909611638449604,56.528075496328704,57.1338979893799,57.7348593437162,58.3450223077229,58.977358072457,59.635997515328796,60.31627737248711,61.0037620968184,61.6768162619059,62.314119610912506,62.901346973447396,63.429688101171706,63.898979958516705,64.35157729195579,64.7363405194683,65.0438527359527,65.4149070699595,65.7856531735505,66.19610004738621,66.55410300047289,66.8971447805236,67.21809146121021,67.5176890021404,67.8005914484374,68.07251863513639,68.34024632037479,68.6105056110119,68.886187759396,69.164682959313,69.4394593833006,69.70155528951351,69.9421738723304,70.1575600848623,70.3499164210096,70.5287616794948,70.7037977970714,70.88221770243871,71.0642687701762,71.24957096893179,71.4365471749074,71.62267042549409,71.8070751075422,71.98970936702821,,
8,United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.537,52.56,53.573,54.571999999999996,55.555,56.523,57.482,58.431999999999995,59.375,60.303999999999995,61.215,62.099,62.949,63.75899999999999,64.525,65.244,65.916,66.545,67.137,67.692,68.21300000000001,68.70100000000001,69.158,69.585,69.986,70.363,70.717,71.04899999999999,71.361,71.657,71.939,72.208,72.46600000000001,72.715,72.957,73.194,73.428,73.657,73.883,74.10600000000001,74.327,74.544,74.758,74.968,75.17399999999999,75.376,75.57300000000001,75.767,75.957,76.145,76.332,76.521,76.711,76.903,77.095,77.285,77.47,77.64699999999999,77.814,77.972,,
9,Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.055,65.176,65.26899999999999,65.348,65.426,65.518,65.64,65.796,65.98899999999999,66.219,66.483,66.774,67.078,67.383,67.686,67.985,68.283,68.585,68.891,69.197,69.49600000000001,69.777,70.033,70.262,70.46600000000001,70.65,70.825,71.001,71.186,71.384,71.594,71.813,72.032,72.24600000000001,72.453,72.65100000000001,72.843,73.029,73.21300000000001,73.396,73.57600000000001,73.755,73.932,74.107,74.28,74.45100000000001,74.62,74.78699999999999,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.667,,
