,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
0,Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.776,50.761,50.746,50.73,50.715,50.7,50.685,50.67,50.653999999999996,50.638999999999996,50.623999999999995,50.608999999999995,50.593,50.578,50.563,50.548,50.532,50.516999999999996,50.501999999999995,50.486999999999995,50.472,50.456,50.441,50.426,50.411,50.395,50.38,50.365,50.35,50.335,50.318999999999996,50.303999999999995,49.998000000000005,49.588,49.177,48.766999999999996,48.356,47.946000000000005,47.536,47.126999999999995,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.42100000000001,43.059,42.94,42.957,42.99,43.041000000000004,43.108000000000004,43.192,43.293,43.411,43.54600000000001,43.696999999999996,
1,Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.7046880270389,14.9444594363545,15.1856082364534,15.444413890441401,15.7190759160356,16.0019921742273,16.293737769731,16.5912784575498,16.8976284083794,17.215248922534197,17.5191524874348,17.8336990412522,18.1639412907816,18.4931638550399,18.8136538807522,19.147679037334,19.4939765116391,19.8523598575687,20.2180205465738,20.5496723856882,20.844999798012303,21.1434206556668,21.445122810794,21.775974653048397,22.1503496385355,22.5639724079421,23.0119385957092,23.4652429697467,23.9319850274651,24.4061242371349,24.9192241869034,25.408235539361897,25.920718832353398,26.4139304583408,26.812287681597,27.169617181952898,27.5059415273442,27.8196969903894,28.105739820880398,28.3845418629392,28.669286452593603,28.9770739787538,29.304198716071202,29.631272540665,29.9618242264524,30.309704671951398,30.646243249931803,30.9140937794251,31.3313210633171,31.7564714042204,32.193409800416106,32.6415481084515,33.0716871573659,33.5075479703347,33.9524243585602,34.4050839061798,34.8651009391134,35.332372600656,35.80777011927739,36.2913220679034,36.7833061490919,
2,Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,8.401,8.684,8.976,9.276,9.586,9.904,10.232999999999999,10.57,10.918,11.275,11.642999999999999,12.020999999999999,12.41,12.809000000000001,13.219000000000001,13.640999999999998,14.074000000000002,14.517000000000001,14.972999999999999,15.442,15.995,16.562,17.147000000000002,17.747,18.365,18.997,19.647000000000002,20.314,20.998,21.088,21.177,21.266,21.355,21.444000000000003,21.534000000000002,21.624000000000002,21.714000000000002,21.805,21.895,21.986,22.078000000000003,22.169,22.261,22.353,22.5,22.703000000000003,22.906999999999996,23.113000000000003,23.32,23.528000000000002,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,
3,Africa Western and Central,AFW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.670328790771801,15.053577246958302,15.449281629909,15.864020729099698,16.294983957147902,16.741360700112697,17.166815703288602,17.605456902980897,18.056909401743397,18.5202932629796,18.9828506412922,19.5173626853592,20.067911777149803,20.6289466887008,21.2023144442772,21.7862500353152,22.390043734749398,22.960462128618698,23.533633199769,24.0240814162818,24.5185774336299,25.1391253441222,25.7702089964984,26.4049333999262,27.0571513431051,27.745995505533198,28.4246162094833,29.090211730896396,29.7390634590972,30.368314779165303,31.000834152885698,31.4691088996107,31.878303273048896,32.2815117204946,32.6841178584885,33.092517666196606,33.5047620792523,33.9548907168842,34.4148671478795,34.8841270056148,35.352981328523796,35.953248155062106,36.557976617836296,37.1744363338829,37.7998187771227,38.4313922681047,39.0707904715649,39.708824699653896,40.345960018202796,40.9843167330037,41.6258794507234,42.2646633923943,42.901035425073296,43.530704316138895,44.1571309612333,44.781373001758496,45.4018091116082,46.019333542677295,46.6331382779992,47.242852878300106,47.8486254352506,
4,Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.435,10.798,11.204,11.624,12.058,12.504000000000001,12.965,13.440999999999999,13.932,14.436,14.957,15.632,16.455,17.31,18.202,19.128,20.092,21.088,22.122,23.191999999999997,24.298000000000002,25.436999999999998,26.612,27.820999999999998,29.065,30.338,31.643,32.978,34.343,35.731,37.144,38.58,40.039,41.511,43.0,44.169,45.346000000000004,46.525,47.71,48.897,50.086999999999996,51.273999999999994,52.461000000000006,53.645,54.827,56.0,56.763999999999996,57.523999999999994,58.282,59.034,59.783,60.528,61.268,62.001999999999995,62.731,63.446000000000005,64.149,64.839,65.514,66.17699999999999,66.825,
5,Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.705,30.943,31.015,31.086,31.158,31.23,31.302,31.374000000000002,31.445999999999998,31.548000000000002,31.74,31.933000000000003,32.126999999999995,32.321,32.516,32.711999999999996,32.908,33.105,33.302,33.5,33.762,34.024,34.287,34.552,34.817,35.083,35.35,35.619,35.888000000000005,36.158,36.428000000000004,36.7,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.74100000000001,42.435,43.501000000000005,44.573,45.651,46.731,47.815,48.902,49.99100000000001,51.076,52.163000000000004,53.247,54.33,55.387,56.423,57.434,58.42100000000001,59.383,60.318999999999996,61.229,62.111999999999995,
6,Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.45,60.983000000000004,63.461999999999996,65.872,68.205,70.445,72.593,74.641,76.58800000000001,78.42399999999999,80.155,81.78,83.301,84.71600000000001,86.03200000000001,87.25200000000001,88.382,89.42,90.37799999999999,91.257,92.064,92.8,93.47399999999999,94.089,94.649,95.15899999999999,95.325,95.178,95.027,94.87200000000001,94.712,94.53,94.324,94.111,93.89,93.661,93.425,93.18,92.927,92.666,92.395,92.056,91.641,91.20700000000001,90.751,90.285,89.807,89.30799999999999,89.00399999999999,88.912,88.819,88.726,88.631,88.537,88.441,88.345,88.24799999999999,88.15,88.06200000000001,87.984,87.916,
7,Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.2341416391502,31.97992650347,32.7291199844191,33.5015996787538,34.3036023781111,35.1476999570857,35.9497985671556,36.6410532351421,37.3439589440106,38.056203016471294,38.7806678823684,39.4912383135919,40.2239998903022,40.9464965482861,41.5952889242894,42.2019030676394,42.7717408129015,43.2934768582561,43.8017096099011,44.3097370089484,44.8465725305655,45.4067313313873,45.97463413516721,46.5748920955006,47.216699919483005,47.833213425603894,48.4403387512368,48.9798877590875,49.43881771346479,49.8450118657646,50.395247579153,50.78305244115501,50.778711225923004,51.1512105294203,51.409425000621994,51.8956860183394,52.0625708701239,52.264069203595,52.49701583389339,52.740845986535795,52.98930168698979,53.251444158956204,53.5156256948691,53.80116723943729,54.1055823150417,54.470306311451395,54.865736214768496,55.149079736192505,55.57907435225229,56.0097688019882,56.440880518407404,56.7918957290399,57.0983962735312,57.4007340495261,57.692325473288705,58.0314661463348,58.34562698030089,58.642322352940596,58.9265950528938,59.2016459579233,59.4717656085526,
8,United Arab Emirates,ARE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.5,74.383,75.248,76.093,76.919,77.723,78.508,79.27199999999999,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.903,80.10600000000001,80.309,80.51,80.71,80.683,80.46600000000001,80.247,80.02600000000001,79.804,79.624,79.482,79.339,79.196,79.051,78.906,78.76,78.61399999999999,78.467,78.319,78.493,78.938,79.378,79.81,80.236,80.655,81.067,81.472,81.87100000000001,82.262,82.648,83.023,83.387,83.742,84.087,84.42299999999999,84.749,85.066,85.375,85.67399999999999,85.965,86.24799999999999,86.522,86.789,87.04799999999999,
9,Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.611,74.217,74.767,75.309,75.844,76.369,76.888,77.398,77.90100000000001,78.39399999999999,78.88,79.321,79.743,80.158,80.567,80.969,81.366,81.755,82.139,82.516,82.887,83.31299999999999,83.759,84.194,84.62100000000001,85.038,85.445,85.84299999999999,86.23299999999999,86.613,86.984,87.32799999999999,87.542,87.75200000000001,87.96,88.164,88.366,88.564,88.759,88.95200000000001,89.14200000000001,89.329,89.51,89.686,89.86,90.031,90.2,90.366,90.53,90.691,90.84899999999999,90.99,91.12100000000001,91.249,91.37700000000001,91.50299999999999,91.62700000000001,91.749,91.87,91.991,92.111,
